Title,Company,Location,Board,Search Term,Commute,URL,Posted
"QA Engineer with Chinese Speaking","Team Creation","Hybrid work in Hammersmith W6 9DL","Indeed","Software QA Engineer","ðŸ”€ Hybrid | ðŸš— 2h 14min âŒ | ðŸšŒ ~3h 7min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSkNjeHNCvSQQJugjs2ggcWJcTaAP1TLODAEiEbS0L_v5hC8vC7aik4oN0z4IQAX5LHCN0JzxkJjrHm9a2e3sCDKEXFpT7FuYQBhEsLfZT_0NYBz96yOVUSKcAlZB78GCBirldrR_1x4XKD3q0YxxI7pMYNvvMi1vNBgpWoYymACFJIkgxG0AAdhHLgjYHVfMQDBJcU_2fdyupp_-FcnFWAMSU1f269VKAuluMxSrrgj7IFvBuEp59qI61xzsaSE8YYnapeWAe5XWmSMSSt54wKpsKvbTRatLUW0lcY9zY2X0oVcS-G3XNqQKJ-NO2ka4Uv62d7F6cedo2ZB2hkvoEXMsFKDv8wdcOgUdDN1ThYRSFJ_aYzqM4unyt8cXdWXathTivWu_FhSCotri8IugtFe7CF5LE9HmldPh5uzBe6B6Th9YXVRNSfrDMFySCbN5Jb6GzgXWCbSmEzGqjbNM8Pj9M0_ZB97FgDpign3_vn2qNv7GKpsxTTwCSKR9Hc_EEveUg_Z20CLNDWtXzTU9TqbMRKZxidp7JTzC9jdJ2mN-B9fv25HHZFSpamLFsYJywSVaRttTCyktle28Rk4nE7q26iH3D0C4NElhB00M0ZkIL8N6dXT3reAvhARtNEisDDIQPyLoomjDG9o3f_Hfs5OLHpAykcbPk0VQi0Tn-AZcdtq5DZb1ePF-NKWX4TNPv-Zw_X0CTsgrvg5f0FTxQmTc2CTmkAFw=&xkcb=SoA56_M3hG1RuhAb1D0KbzkdCdPP&p=1&camk=C3EPSzFlQw9Jd34vpgKVBQ==&vjs=3",""
"Senior QA Automation Engineer","Softcat","Hybrid work in Manchester M3","Indeed","Software QA Engineer","ðŸ”€ Hybrid | ðŸš— 2h 33min âŒ | ðŸšŒ ~3h 34min","https://uk.indeed.com/rc/clk?jk=8008e7a0757cdf47&bb=sfgvZ0nNf_fAsKPyYQM63GLov51CuBUb2mQ4s9irrCZ7k_BWDHFNu03Pd8iaFhc-HnAqzJAOWm1b0RN0vRwS9wFsq7MzpOJ6paAho3uu-Vx1JbgCZXGKPIlgJG-FGrYR&xkcb=SoCq67M3hG1RuhAb1D0CbzkdCdPP&fccid=42dc284f9b0b0bf3&vjs=3",""
"QA Engineer","Bromford Flagship Livewest","Hybrid work in Northampton","Indeed","Software QA Engineer","ðŸ”€ Hybrid | ðŸš— 2h 14min âŒ | ðŸšŒ ~3h 7min","https://uk.indeed.com/rc/clk?jk=562c167178a99ec9&bb=sfgvZ0nNf_fAsKPyYQM63HEUWgudZ7Istya8JwjfD8uuic0kT175GyBCs7jbGiREdAPiEcwsDncXHxsl_a4w2BeVNSF_AdBjBtCaRMXKA8l0F_0HTTJxmcgLYvlDl36A&xkcb=SoAk67M3hG1RuhAb1D0FbzkdCdPP&fccid=7f8c933e69d57909&vjs=3",""
"Quality Assurance Analyst","Southern Communications Group","Melton","Indeed","Testing Lead","ðŸ¢ Office | ðŸš— 2h 22min âŒ | ðŸšŒ ~3h 19min","https://uk.indeed.com/rc/clk?jk=5af816461301935b&bb=_9XTHP8vYZaw9-x78dq38fuhjiAWGI8sNEj-Vm3jVhln8V0rUcltWVVanRJbRrmrHJPH4T75QuIqLROQJpCjpzoWayt382O0uoXK9z4n099Ex7T4u31Eg1xaUBxRzGaX&xkcb=SoAw67M3hG1grzgb1D0IbzkdCdPP&fccid=aa91f0c60d54ae3f&vjs=3",""
"Quality Assurance Analyst","SOUTHERN COMMUNICATIONS LIMITED","Hybrid work in Woodbridge","Indeed","Testing Lead","ðŸ”€ Hybrid | ðŸš— 2h 14min âŒ | ðŸšŒ ~3h 7min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlXhGvmphng2iHlheON7tFK0t2KMQv22SWXF7mqK7XFIQkdPiSGc-pwms-mQARMaCoZ8hZ1-613c6qGQRAuGNP7nnUIL2AdqVg_L3GBWbJuJAOvrEuyUDHkp4ns6Mq16zE1QmKOPfzTpb1S-JajtGFXotoqE2fGpxP25t6raHS1EEx4XUq7Y26TjZz1u7e2CNL-oDwZO19bM9WzOgTILJIVP3VstSxb-wSgwwi2CKUxwYmypdaP37jXVI_6UudNUXHlTTYeZs-JYvjk5kj5IPAg-LQ50vuxGSzWSMK9IddpCP_OuZC-dK6ktZjgBy1QjnLn8Vodseb7o_4fLezaLMXvdFtyGSwNMwdpDrzhV5HVjM3rAI-IVK8hYYTWpJMOpg_PegJFJXMBs7voW1iDpQlbfzJGtnjCZduYeg0b8d1htTDmFtZgSKWh3G95qmmJ7zvMTDpiXitVHI_6BjOzFM2TSkQGe71XwryS3c_3zTU_ekkOGJ-uYeX-2k72Fidg1C4p-PstEdn1jvtHKZqYG5uMfFmcTaoHAaiZG-RelfdIgTisjNkeSsLvgah09r_HflAotycHhSYYtoEbW0tMi4laU0g8ynBfmrqMyqNgqOw8RfZe0Tjf8BzsZHe8dr-96QmtgB7FfwNB7xHzYJc3dfl7lGcu38geZ1e6ivtnIbXOX0Rgswx3rJ6crez5BEKJ2GrCHw-oi3PayJUtgvGo86z&xkcb=SoAD6_M3hG1_6zgb1D0NbzkdCdPP&p=6&camk=ethIe0s0hedAYNH6leH9lA==&vjs=3",""
"QA Tester (Automation-Focused)","The Portfolio Group","Manchester M4 4FB","Indeed","QA Engineer","ðŸ¢ Office | ðŸš— 1h 22min | ðŸšŒ ~2h 27min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9e9VPJDIhCSC1INlpfdh1aDFf8Qjk-vVDnTl2Ukc0bbi4-wP1Z6VqUjugKMS5dVR0xzU0ME5eiML8-SpRw3Ntyisus-XvnBEZW07kmkO7RE386M2rOQO4lF562Bstkb0gRuaz2WH8LJMsJAGJZZz_ULfr__xma2OStvegSgK-_al3o0XMsH-3z7a-YouRPY0aR8R15pMq60cav181xg-y330F39YuvD-O-UqABVdtRU8KtoWzOchaAPN48ODEMQYhbvYyH_iFyeGx7qmPPX3WP8xRBUQAjnlzT3yDR_WL2FDcTL1LcOBSqpJVc1qH5-R32gEyhw9pp3D9gP5PYLAeMfmJTC0xyWvGN0Vb3YacsTeSdLnOJCj7X4FGr9vhankSAdgDnVXciM8NSlE7ssn34wuJGHoIeYyknsgyh55mI6e64vo1P0Y62W0j2DZCcPCG0Etmvnx3JFfqHEmGKU6lRGQJ7ENLaXXhNiLQFL3ZiNk4k0NCuhvEIMg2IgJxU96Nz45eL0v1aUh4Di3gfOz6aEpJs1YMxL9CqUXHUAA-_lMcEEswF_52pho5v963urYoqtwbDJ1ZLr7Zrcl6WsiaF5QvyzusL7TcS8DO5ss00f6_MmzAtVNnVkGs2HnopsiIz88YXdfQIsPCuxx64sD27ggIIONIvEb2XCosJmIv1lCP5qUMdRDddmd3k2CNrOPAQwr-KY7SBWpjZIKwCtJ0&xkcb=SoCq6_M3hG1xamR2EB0IbzkdCdPP&p=3&camk=ethIe0s0hefc7-1h1VD90Q==&vjs=3",""
"Project QA Lead","TXP Technology x People","Telford, Shropshire","Reed","Testing Lead","ðŸ¢ Office | ðŸš— 1h 6min | ðŸšŒ ~1h 58min","https://www.reed.co.uk/jobs/project-qa-lead/57043406?source=searchResults&filter=%2Fjobs%2Ftesting-lead-jobs-in-united-kingdom","22 June"
"AI Automation Engineer","VIQU IT Recruitment","Leeds, West Yorkshire","Reed","QA Engineer","ðŸ¢ Office | ðŸš— 1h 57min | ðŸšŒ ~2h 44min","https://www.reed.co.uk/jobs/ai-automation-engineer/57029174?source=searchResults&filter=%2Fjobs%2Fqa-engineer-jobs-in-united-kingdom%3Fpageno%3D9","17 June"
"Project QA Lead","TXP","Oakengates, Telford","Adzuna (TotalJobs+)","Testing Lead","ðŸ¢ Office | ðŸš— 1h 5min | ðŸšŒ ~1h 57min","https://www.adzuna.co.uk/jobs/land/ad/5772681710?se=EPCsYuRy8RG03p_b2NRIZw&utm_medium=api&utm_source=fec81443&v=EA7401141694E4C63DCD771E7311D7C5F0E7E4FA","2026-06-22"
"QA Lead","Rebel Recruitment Limited","Manchester, Greater Manchester","Adzuna (TotalJobs+)","QA Lead","ðŸ¢ Office | ðŸš— 1h 22min | ðŸšŒ ~2h 27min","https://www.adzuna.co.uk/jobs/details/5778920097?utm_medium=api&utm_source=fec81443","2026-06-27"
