Title,Company,Location,Board,Search Term,Commute,URL,Posted
"QA Automation Engineer - (100% remote Worldwide - UTC+7/+9)","Bitfinex","Remote in London","Indeed","Software QA Engineer","🌐 Remote","https://uk.indeed.com/rc/clk?jk=54e3a71bc4dd6856&bb=vKXSwqo58aEUIBEbqbFL3W8aqzGpEhoxuC_ogo58ssQZ0w66A8-AAI_va9ubciITd8UstdNchVM9F6j67INqXHFIkCi3iBWpp_8QXnGoAW5A4_m3XNiMrP7u3i0q4woV&xkcb=SoBX67M3hhejyIRCNp0DbzkdCdPP&fccid=96c004b9f25bdd10&vjs=3",""
"QA Test Analyst","Neo Fintech Lab","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/qa-test-analyst-neo-fintech-lab-JV_KO0,15_KE16,31.htm?jl=1010083812043","30d+"
"Remote QA Engineer","Dohe Europe Ltd","Remote","DevITjobs","QA Engineer","🌐 Remote","https://devitjobs.uk/jobs/Dohe-Europe-Ltd-Remote-QA-Engineer","2026-07-08"
"QA Engineer - Remote","BRE Group (Building Research Establishment)","Remote in Watford","Indeed","Software QA Engineer","🏢 Office | 🚗 1h 2min | 🚌 ~1h 52min","https://uk.indeed.com/rc/clk?jk=08b6bc5cd0270252&bb=X-tH7Dl-9mXQ8Q_K2KyoObzXrSrKe_aHn7sMchVGkEQ8A9-1ypctjpVVFUpXrFgiq29wO2ZjQIxVaX3kQpz1o-KqS7YHmtmUTvqI3DeHhGcL88hwwT1CCVrDa3REu4Lr&xkcb=SoAR67M3hhejNIRCNp0KbzkdCdPP&fccid=cb29045e535b94e4&vjs=3",""
"Embedded Software Development Engineer in Test (Embedded SDET) - Nottingham, UK","Videojet","Hybrid work in Nottingham NG7 2QP","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 12min ❌ | 🚌 ~3h 5min","https://uk.indeed.com/rc/clk?jk=34729423fbb98f5a&bb=X-tH7Dl-9mXQ8Q_K2KyoOZ6axB-riltD3U6IVHoRJGk5ku7rvqFa9FaamQtuS6bwZoZ-h3Zp117Cc2zmLntrDIdm6KoM43e9h4chLyyRBLFamVgoSVUbGvFWe-LF1pja&xkcb=SoDC67M3hhejNIRCNp0DbzkdCdPP&fccid=2e33f3e75d3702be&vjs=3",""
"Test Analyst - Hybrid - Warwick - UK","Noir","Warwickshire","Reed","Software QA Engineer","🔀 Hybrid | 🚗 2h 8min ❌ | 🚌 ~3h 💾","https://www.reed.co.uk/jobs/test-analyst-hybrid-warwick-uk/57041077?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D2","22 June"
"Software Tester","Oscar Technology","Warrington, Cheshire","Reed","Software QA Engineer","🏢 Office | 🚗 53min | 🚌 ~1h 35min 💾","https://www.reed.co.uk/jobs/software-tester/57008217?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D3","11 June"
"QA Tester (Automation-Focused)","The Portfolio Group","Manchester, Lancashire","Reed","Software QA Automation Engineer","🏢 Office | 🚗 59min | 🚌 ~1h 46min 💾","https://www.reed.co.uk/jobs/qa-tester-automation-focused/57047685?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-automation-engineer-jobs-in-united-kingdom%3Fpageno%3D2","23 June"
"Remote QA Engineer - UI Testing","TXP","Ward End, Birmingham","Adzuna (TotalJobs+)","QA Engineer","🏢 Office | 🚗 1h 46min | 🚌 ~2h 28min","https://www.adzuna.co.uk/jobs/details/5792268310?utm_medium=api&utm_source=fec81443","2026-07-08"
"Remote QA Engineer Platform Engineering","TXP","Long Lawford, Rugby","Adzuna (TotalJobs+)","QA Engineer","🏢 Office | 🚗 2h 8min ❌ | 🚌 ~2h 59min","https://www.adzuna.co.uk/jobs/details/5792268201?utm_medium=api&utm_source=fec81443","2026-07-08"
"Automation Tester","Tank Recruitment","Bristol, South West England","Adzuna (TotalJobs+)","Test Automation Engineer","🏢 Office | 🚗 1h 51min | 🚌 ~2h 35min","https://www.adzuna.co.uk/jobs/land/ad/5791185750?se=AA0WlfJ68RGY7JK76yOanA&utm_medium=api&utm_source=fec81443&v=93BA570DB4C50330838B3B1EC35CF245758C5A48","2026-07-07"
"QA Lead","Rebel Recruitment Limited","Manchester, Greater Manchester","Adzuna (TotalJobs+)","QA Lead","🏢 Office | 🚗 1h 21min | 🚌 ~2h 26min 💾","https://www.adzuna.co.uk/jobs/details/5785246925?utm_medium=api&utm_source=fec81443","2026-07-02"
"Test Manager","Brio Digital","Leeds, West Yorkshire","CV-Library","Test Lead","🏢 Office | 🚗 1h 57min | 🚌 ~2h 43min","https://www.cv-library.co.uk/job/225347818/test-manager","2026-07-08"
"Contract QA Engineer - AI Trainer","DataAnnotation3.9","Rochdale, England","Glassdoor","Software QA Engineer","🏢 Office | 🚗 1h 30min | 🚌 ~2h 6min 💾","https://www.glassdoor.co.uk/job-listing/contract-qa-engineer-ai-trainer-dataannotation-JV_IC3293651_KO0,31_KE32,46.htm?jl=1010165571446","27d"
